Date,Year,Month,Day,Address,State,County,City,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI
1/1/2020,2020,1,1,1100 21st Street,California,Alameda,Oakland,0.011824,0.02,10,19,0.5388890000000001,0.9,6,10,0.031818,0.5,9,0,15.921739,28,21,26
1/2/2020,2020,1,2,1100 21st Street,California,Alameda,Oakland,0.007588,0.017,9,16,0.875,1.7,23,19,0.6681819999999999,1.2,16,1,20.543478,34.2,17,32
1/3/2020,2020,1,3,1100 21st Street,California,Alameda,Oakland,0.005133,0.01,23,9,1.352632,2.1,2,24,0.784211,1.8,9,1,19.3125,27.4,9,25
1/6/2020,2020,1,6,1100 21st Street,California,Alameda,Oakland,0.004846,0.014,11,13,0.505556,0.8,10,9,0.442105,1.4,15,1,23.518182,30.7,17,28
1/7/2020,2020,1,7,1100 21st Street,California,Alameda,Oakland,0.023176,0.03,17,28,0.766667,1.3,7,15,0.590909,1.7,11,1,18.026087,33.8,8,31
1/8/2020,2020,1,8,1100 21st Street,California,Alameda,Oakland,0.026412,0.032,16,30,0.391667,0.8,9,9,0.2,0.8,10,0,14.821739,33.4,9,31
1/9/2020,2020,1,9,1100 21st Street,California,Alameda,Oakland,0.009765,0.023,7,21,0.329167,0.9,23,10,0.061905,0.4,21,0,14.522727,27.9,19,25
1/10/2020,2020,1,10,1100 21st Street,California,Alameda,Oakland,0.020588,0.028,19,26,0.754167,1.1,1,13,0.554545,1.5,9,1,16.917391000000002,26.3,8,25
1/11/2020,2020,1,11,1100 21st Street,California,Alameda,Oakland,0.018294,0.033,10,31,0.2875,0.6,23,7,-0.018182,0.3,23,0,12.908696,29.8,22,27
1/12/2020,2020,1,12,1100 21st Street,California,Alameda,Oakland,0.023412,0.029,11,27,0.5625,0.9,3,10,0.245455,1,10,1,15.860870000000002,27.2,0,25
1/13/2020,2020,1,13,1100 21st Street,California,Alameda,Oakland,0.029824,0.035,20,32,0.333333,0.4,7,5,-0.004545,0.5,10,0,12.843478,24.3,9,23
1/14/2020,2020,1,14,1100 21st Street,California,Alameda,Oakland,0.017294,0.032,8,30,0.25,0.6,23,7,-0.05,0.1,11,0,12.978261,31.4,21,29
1/15/2020,2020,1,15,1100 21st Street,California,Alameda,Oakland,0.022235,0.031,23,29,0.554167,0.8,2,9,0.2,1,10,1,20.4,28.8,8,26
1/16/2020,2020,1,16,1100 21st Street,California,Alameda,Oakland,0.023529,0.03,7,28,0.2875,0.4,20,5,-0.104545,0,0,0,12.443478,23.3,19,22
1/17/2020,2020,1,17,1100 21st Street,California,Alameda,Oakland,0.020059,0.024,13,22,0.4875,0.8,9,9,0.181818,0.9,10,0,20.843478,45.4,8,42
1/18/2020,2020,1,18,1100 21st Street,California,Alameda,Oakland,0.026118,0.029,17,27,0.329167,0.4,0,5,-0.05,0,0,0,6.569564999999999,15.6,0,14
1/19/2020,2020,1,19,1100 21st Street,California,Alameda,Oakland,0.005118,0.012,7,11,0.375,0.5,20,6,0.022727,0.1,8,0,20.126087,30.5,5,28
1/20/2020,2020,1,20,1100 21st Street,California,Alameda,Oakland,0.008765,0.021,23,19,0.5625,0.8,22,9,0.227273,0.5,10,0,23.321739,31.6,19,29
1/21/2020,2020,1,21,1100 21st Street,California,Alameda,Oakland,0.021235,0.025,9,23,0.429167,0.8,0,9,-0.190909,0,5,0,12.369565,25.2,8,24
1/22/2020,2020,1,22,1100 21st Street,California,Alameda,Oakland,0.009429,0.026,10,24,0.447059,0.6,22,7,0.210526,1.1,16,1,20.85,39.7,19,37
1/23/2020,2020,1,23,1100 21st Street,California,Alameda,Oakland,0.006059,0.011,11,10,0.579167,0.7,0,8,0.313636,0.7,12,0,24.226087,33.6,8,31
1/24/2020,2020,1,24,1100 21st Street,California,Alameda,Oakland,0.015529,0.02,11,19,0.629167,0.9,8,10,0.127273,0.7,10,0,18.582609,27.6,8,25
1/25/2020,2020,1,25,1100 21st Street,California,Alameda,Oakland,0.015059,0.019,22,18,0.5,0.6,9,7,-0.022727,0.3,16,0,16.247826,27.7,17,25
1/26/2020,2020,1,26,1100 21st Street,California,Alameda,Oakland,0.024824,0.037000000000000005,9,34,0.354167,0.5,0,6,-0.154545,0,20,0,10.073913,25.8,22,24
1/27/2020,2020,1,27,1100 21st Street,California,Alameda,Oakland,0.022706,0.028,11,26,0.466667,0.5,0,6,0.004545,0.6,8,0,15.791304,26,7,25
1/28/2020,2020,1,28,1100 21st Street,California,Alameda,Oakland,0.017412,0.028,10,26,0.408333,0.5,22,6,-0.113636,0,5,0,16.278260999999997,27.6,23,25
1/29/2020,2020,1,29,1100 21st Street,California,Alameda,Oakland,0.013235,0.021,8,19,0.579167,0.8,6,9,0.138095,1,11,1,18.454545,29.9,18,27
1/30/2020,2020,1,30,1100 21st Street,California,Alameda,Oakland,0.006059,0.015,9,14,0.55,0.7,22,8,0.057142999999999985,0.9,15,0,16.177778,21.6,8,20
1/31/2020,2020,1,31,1100 21st Street,California,Alameda,Oakland,0.006765,0.016,10,15,0.866667,1.3,7,15,0.71,2.3,12,3,21.65,30.5,19,28
2/1/2020,2020,2,1,1100 21st Street,California,Alameda,Oakland,0.013647,0.025,10,23,0.675,0.9,5,10,0.5636359999999999,2.1,12,3,16.643477999999998,25,9,24
2/2/2020,2020,2,2,1100 21st Street,California,Alameda,Oakland,0.035588,0.038,12,35,0.245833,0.5,1,6,0.018182,0.3,12,0,6.256522,20,0,19
2/3/2020,2020,2,3,1100 21st Street,California,Alameda,Oakland,0.031529,0.035,10,32,0.154167,0.2,6,2,0.240909,0.5,21,0,7.9956520000000015,15.3,7,14
2/4/2020,2020,2,4,1100 21st Street,California,Alameda,Oakland,0.015353,0.034,8,31,0.241667,0.7,23,8,0.6090909999999999,1.1,15,1,15.330435,37.3,19,35
2/5/2020,2020,2,5,1100 21st Street,California,Alameda,Oakland,0.009176,0.017,10,16,0.666667,0.9,2,10,0.922727,2.1,13,3,28.069565,37.5,8,35
2/6/2020,2020,2,6,1100 21st Street,California,Alameda,Oakland,0.014118,0.021,10,19,0.808333,1.2,7,14,1.4,3.6,14,4,23.395238,32.8,7,30
2/7/2020,2020,2,7,1100 21st Street,California,Alameda,Oakland,0.016881999999999998,0.024,23,22,0.454167,0.6,11,7,0.8863639999999999,4.5,13,6,21.695652,32.3,19,30
2/8/2020,2020,2,8,1100 21st Street,California,Alameda,Oakland,0.026353,0.031,23,29,0.3,0.4,0,5,0.254545,0.7,13,0,8.578261,20.8,18,19
2/9/2020,2020,2,9,1100 21st Street,California,Alameda,Oakland,0.032294,0.037000000000000005,9,34,0.166667,0.3,0,3,0.286364,0.5,17,0,4.4,10.2,0,9
2/10/2020,2020,2,10,1100 21st Street,California,Alameda,Oakland,0.019059,0.031,9,29,0.3,0.6,23,7,0.761905,1.5,5,1,21.213636,36.4,18,34
2/11/2020,2020,2,11,1100 21st Street,California,Alameda,Oakland,0.016881999999999998,0.033,9,31,0.5125,0.8,1,9,0.818182,2,8,3,23.578261,48,7,45
2/12/2020,2020,2,12,1100 21st Street,California,Alameda,Oakland,0.022235,0.029,12,27,0.65,1,7,11,0.7,1.7,13,1,21.534783,33.9,7,31
2/13/2020,2020,2,13,1100 21st Street,California,Alameda,Oakland,0.036471,0.038,10,35,0.329167,0.4,0,5,0.195455,0.4,5,0,10.704348,27.1,1,25
2/14/2020,2020,2,14,1100 21st Street,California,Alameda,Oakland,0.019706,0.034,9,31,0.304167,0.6,23,7,0.331818,1.5,15,1,12.695652,26.6,21,25
2/15/2020,2020,2,15,1100 21st Street,California,Alameda,Oakland,0.024294,0.035,8,32,0.529167,0.8,1,9,0.390909,0.8,13,0,16.634783,30.1,20,28
2/16/2020,2020,2,16,1100 21st Street,California,Alameda,Oakland,0.027647,0.041,9,38,0.383333,0.5,0,6,0.209091,0.4,14,0,10.586957,23.8,7,22
2/17/2020,2020,2,17,1100 21st Street,California,Alameda,Oakland,0.015882,0.028,10,26,0.508333,0.8,23,9,0.504545,1,23,1,18.934783,29.8,20,27
2/18/2020,2020,2,18,1100 21st Street,California,Alameda,Oakland,0.021647,0.032,11,30,0.825,1.3,5,15,0.795455,1.9,14,1,22.917391,36.2,8,34
2/19/2020,2020,2,19,1100 21st Street,California,Alameda,Oakland,0.019118,0.026,10,24,0.491667,0.6,7,7,0.604545,1.8,14,1,21.3,29.2,7,27
2/20/2020,2020,2,20,1100 21st Street,California,Alameda,Oakland,0.024176,0.037000000000000005,11,34,0.6,0.8,7,9,0.809091,1.5,12,1,22.717391,32.9,7,30
